model_name,model_id,network_type,primary_param_name,primary_param_value,rho_final,peak_I,t_peak,is_supercritical
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.007,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.007,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.006,0.004999999888241291,0,False
SIR,0,ER,beta,0.0013017605884734324,0.005,0.004999999888241291,0,False
